"'"	(('POS', 0.8198), ("''", 0.1762), (':', 0.004))
'pipes'	(('NNS', 1.0),)
'piping'	(('NN', 1.0),)
'pipsqueak'	(('NN', 1.0),)
'piquant'	(('JJ', 1.0),)
'pir'	(('NNP', 1.0),)
'pirate'	(('NNP', 1.0),)
'pirated'	(('VBN', 1.0),)
'pirates'	(('NNS', 1.0),)
'pirelli'	(('NNP', 1.0),)
'piroghi'	(('NNS', 1.0),)
'pisa'	(('NNP', 1.0),)
'pissocra'	(('NNP', 1.0),)
'pistils'	(('NNS', 1.0),)
'pistol'	(('NN', 1.0),)
'pistols'	(('NNS', 1.0),)
'piston'	(('NN', 1.0),)
'piston-brake'	(('NN', 1.0),)
'pistons'	(('NNS', 1.0),)
'piszczalski'	(('NNP', 1.0),)
'pit'	(('NN', 0.8667), ('VB', 0.1333))
'pitch'	(('NN', 0.8125), ('VB', 0.0625), ('VBP', 0.0625), ('NNP', 0.0625))
'pitched'	(('VBD', 0.5), ('VBN', 0.3333), ('JJ', 0.1667))
'pitcher'	(('NN', 1.0),)
'pitcher-coach'	(('NN', 1.0),)
'pitchers'	(('NNS', 1.0),)
'pitches'	(('NNS', 0.8571), ('VBZ', 0.1429))
'pitching'	(('VBG', 0.8), ('NN', 0.2))
'pitchmen'	(('NNS', 1.0),)
'pitcoff'	(('NNP', 1.0),)
'pitfalls'	(('NNS', 1.0),)
'pithiest'	(('JJS', 1.0),)
'pithy'	(('JJ', 1.0),)
'pitiful'	(('NNP', 1.0),)
'pitman'	(('NNP', 1.0),)
'pitman-moore'	(('NNP', 1.0),)
'pitney'	(('NNP', 1.0),)
'pits'	(('NNS', 0.8333), ('VBZ', 0.1667))
'pittance'	(('NN', 1.0),)
'pitted'	(('VBN', 0.6667), ('VBD', 0.3333))
'pittsburg'	(('NNP', 1.0),)
'pittsburgh'	(('NNP', 1.0),)
'pittsburgh-based'	(('JJ', 1.0),)
'pittston'	(('NNP', 1.0),)
'pity'	(('NN', 1.0),)
'pivotal'	(('JJ', 1.0),)
'pixie-like'	(('JJ', 1.0),)
'pixley'	(('NNP', 1.0),)
'pizazz'	(('NN', 1.0),)
'pizza'	(('NN', 0.5), ('NNP', 0.5))
'pizzas-with-everything'	(('NNS', 1.0),)
'pizzazz'	(('NN', 1.0),)
'pizzerias'	(('NNS', 1.0),)
'pizzo'	(('NNP', 1.0),)
'placate'	(('VB', 1.0),)
'placated'	(('VBN', 1.0),)
'place'	(('NN', 0.8758), ('VB', 0.098), ('VBP', 0.0261))
'placebo'	(('NN', 1.0),)
'placed'	(('VBN', 0.7222), ('VBD', 0.2778))
'placement'	(('NN', 0.8333), ('NNP', 0.1667))
'placements'	(('NNS', 0.8), ('NNP', 0.2))
'placer'	(('NNP', 1.0),)
'places'	(('NNS', 0.7), ('VBZ', 0.2667), ('NNPS', 0.0333))
'placid'	(('JJ', 1.0),)
'placido'	(('NNP', 1.0),)
'placing'	(('VBG', 0.75), ('NN', 0.25))
'plague'	(('VB', 1.0),)
'plagued'	(('VBN', 0.75), ('VBD', 0.25))
'plaid'	(('NN', 0.6), ('JJ', 0.4))
'plaid-floored'	(('JJ', 1.0),)
'plain'	(('JJ', 0.6364), ('NN', 0.1818), ('RB', 0.1818))
'plain-vanilla'	(('JJ', 1.0),)
'plaines'	(('NNP', 1.0),)
'plainly'	(('RB', 1.0),)
'plains'	(('NNP', 0.5), ('NNPS', 0.25), ('NNS', 0.25))
'plaintiff'	(('NN', 1.0),)
'plaintiffs'	(('NNS', 1.0),)
'plaintive'	(('JJ', 1.0),)
'plaintively'	(('RB', 1.0),)
'plan'	(('NN', 0.8763), ('VBP', 0.0742), ('VB', 0.0268), ('NNP', 0.0227))
'planar'	(('NNP', 1.0),)
'planck'	(('NNP', 1.0),)
'plane'	(('NN', 0.9565), ('NNP', 0.0435))
'planes'	(('NNS', 1.0),)
'planet'	(('NN', 0.9231), ('NNP', 0.0769))
'planets'	(('NNS', 1.0),)
'planks'	(('NNS', 1.0),)
'planned'	(('VBN', 0.4476), ('JJ', 0.2667), ('VBD', 0.2571), ('NNP', 0.0286))
'planner'	(('NN', 1.0),)
'planners'	(('NNS', 0.9118), ('NNP', 0.0588), ('NNPS', 0.0294))
'planning'	(('NN', 0.4875), ('VBG', 0.45), ('NNP', 0.0625))
'plans'	(('NNS', 0.5635), ('VBZ', 0.4315), ('NNPS', 0.0025), ('NNP', 0.0025))
'plant'	(('NN', 0.9203), ('NNP', 0.0598), ('VB', 0.0199))
'plant-and-equipment'	(('JJ', 1.0),)
'plant-science'	(('NN', 1.0),)
'plant-sciences'	(('JJ', 1.0),)
'plantago'	(('NN', 1.0),)
'plantation'	(('NN', 1.0),)
'plantations'	(('NNS', 1.0),)
'planted'	(('VBN', 0.6), ('VBD', 0.4))
'planter'	(('NN', 1.0),)
'planters'	(('NNP', 1.0),)
'planting'	(('NN', 0.5), ('VBG', 0.5))
'plants'	(('NNS', 1.0),)
'plaque'	(('NN', 1.0),)
'plaskett'	(('NNP', 1.0),)
'plasma'	(('NN', 1.0),)
'plaster'	(('NN', 1.0),)
'plastic'	(('NN', 0.6), ('JJ', 0.4))
'plastic-bodied'	(('JJ', 1.0),)
'plastics'	(('NNS', 0.9333), ('NNPS', 0.0667))
'plastow'	(('NNP', 1.0),)
'plate'	(('NN', 1.0),)
'plateau'	(('NN', 1.0),)
'platform'	(('NN', 1.0),)
'platforms'	(('NNS', 1.0),)
'platinum'	(('NN', 1.0),)
'platoon'	(('NN', 1.0),)
'platt'	(('NNP', 1.0),)
'plaudits'	(('NNS', 1.0),)
'plausible'	(('JJ', 1.0),)
'plausibly'	(('RB', 1.0),)
'play'	(('VB', 0.5579), ('NN', 0.3368), ('VBP', 0.0947), ('NNP', 0.0105))
'playback'	(('NNP', 1.0),)
'playboy'	(('NNP', 1.0),)
'played'	(('VBD', 0.566), ('VBN', 0.434))
'player'	(('NN', 0.9444), ('NNP', 0.0556))
'players'	(('NNS', 0.9836), ('NNPS', 0.0164))
'playfulness'	(('NN', 1.0),)
'playground'	(('NN', 1.0),)
'playhouse'	(('NNP', 1.0),)
'playing'	(('VBG', 0.7059), ('NN', 0.2647), ('JJ', 0.0294))
'playland'	(('NN', 1.0),)
'playoff'	(('NN', 1.0),)
'playoffs'	(('NNS', 1.0),)
'plays'	(('VBZ', 0.7308), ('NNS', 0.2308), ('NNP', 0.0385))
'playskool'	(('NNP', 1.0),)
'playtex'	(('NNP', 1.0),)
'playwright'	(('NN', 1.0),)
'playwrights'	(('NNP', 1.0),)
'plaza'	(('NNP', 0.8889), ('NN', 0.1111))
'plc'	(('NNP', 1.0),)
'plea'	(('NN', 0.96), ('VB', 0.04))
'plead'	(('VB', 1.0),)
'pleaded'	(('VBD', 0.8696), ('VBN', 0.1304))
'pleading'	(('VBG', 1.0),)
'pleadingly'	(('RB', 1.0),)
'pleadings'	(('NNS', 1.0),)
'pleas'	(('NNS', 1.0),)
'pleasant'	(('JJ', 0.6667), ('NNP', 0.3333))
'pleasantries'	(('NNS', 1.0),)
'please'	(('VB', 0.7), ('UH', 0.2), ('VBP', 0.1))
'pleased'	(('JJ', 0.55), ('VBN', 0.35), ('VBD', 0.1))
'pleases'	(('VBZ', 1.0),)
'pleasing'	(('NN', 0.5), ('VBG', 0.5))
'pleasurable'	(('JJ', 1.0),)
'pleasure'	(('NN', 1.0),)
'pleasure-boat'	(('NN', 1.0),)
'pleasures'	(('NNS', 1.0),)
'pleated'	(('JJ', 1.0),)
'pledge'	(('NN', 1.0),)
'pledged'	(('VBD', 0.6667), ('VBN', 0.3333))
'pledges'	(('NNS', 0.75), ('VBZ', 0.25))
'pledging'	(('VBG', 1.0),)
'plenitude'	(('NNP', 1.0),)
'plentiful'	(('JJ', 1.0),)
'plenty'	(('NN', 0.6296), ('RB', 0.2593), ('JJ', 0.1111))
'plenum'	(('NN', 1.0),)
'plethora'	(('NN', 1.0),)
'plews'	(('NNP', 1.0),)
'pliant'	(('JJ', 1.0),)
'plies'	(('VBZ', 1.0),)
'plight'	(('NN', 1.0),)
'plights'	(('NNS', 1.0),)
'plo'	(('NNP', 1.0),)
'plot'	(('NN', 0.9091), ('VB', 0.0909))
'plots'	(('NNS', 1.0),)
'plotted'	(('VBD', 1.0),)
'plotters'	(('NNS', 1.0),)
'plotting'	(('VBG', 1.0),)
'plouf'	(('NNP', 1.0),)
'plow'	(('VB', 1.0),)
'plowed'	(('VBN', 1.0),)
'plows'	(('VBZ', 1.0),)
'ploy'	(('NN', 1.0),)
'ploys'	(('NNS', 1.0),)
'pluck'	(('VB', 1.0),)
'plucked'	(('VBN', 1.0),)
'plug'	(('NN', 0.5714), ('VB', 0.2857), ('VBP', 0.1429))
'plug-in'	(('JJ', 1.0),)
'plugged'	(('VBD', 1.0),)
'plugging'	(('VBG', 1.0),)
'plumbing'	(('NN', 1.0),)
'plume'	(('NN', 1.0),)
'plummer'	(('NNP', 1.0),)
'plummet'	(('VB', 0.8), ('VBP', 0.2))
'plummeted'	(('VBD', 0.7917), ('VBN', 0.2083))
'plummeting'	(('VBG', 1.0),)
'plump'	(('JJ', 1.0),)
'plunge'	(('NN', 0.9111), ('VB', 0.0556), ('VBP', 0.0333))
'plunged'	(('VBD', 0.8793), ('VBN', 0.1207))
'plunges'	(('VBZ', 1.0),)
'plunging'	(('VBG', 0.875), ('NN', 0.125))
'pluralism'	(('NN', 1.0),)
'plurality'	(('NN', 1.0),)
'pluri-party'	(('JJ', 1.0),)
'plus'	(('CC', 0.6897), ('IN', 0.1724), ('NNP', 0.069), ('NN', 0.0517), ('JJ', 0.0172))
'pluses'	(('NNS', 1.0),)
'plush'	(('JJ', 1.0),)
'plutonium'	(('NN', 1.0),)
'plying'	(('VBG', 1.0),)
'plymouth'	(('NNP', 1.0),)
'plywood'	(('NN', 1.0),)
'pnc'	(('NNP', 1.0),)
'pneumonia'	(('NN', 1.0),)
'png'	(('NNP', 1.0),)
'poachers'	(('NNS', 1.0),)
'poaching'	(('VBG', 1.0),)
'poag'	(('NNP', 1.0),)
'pocket'	(('NN', 0.75), ('VB', 0.25))
'pocketbook'	(('NN', 1.0),)
'pocketing'	(('VBG', 1.0),)
'pockets'	(('NNS', 0.9), ('VBZ', 0.1))
'pockmarked'	(('VBN', 1.0),)
'pod'	(('NN', 1.0),)
'podiatrist'	(('NN', 1.0),)
'podium'	(('NN', 1.0),)
'poeme'	(('NNP', 1.0),)
'poet'	(('NN', 1.0),)
'poetry'	(('NN', 0.6667), ('NNP', 0.3333))
'poignant'	(('JJ', 1.0),)
'poindexter'	(('NNP', 1.0),)
'point'	(('NN', 0.9148), ('VBP', 0.0407), ('VB', 0.0333), ('NNP', 0.0074), ('JJ', 0.0037))
'point-of-sale'	(('JJ', 1.0),)
'pointe'	(('NNP', 1.0),)
'pointed'	(('VBD', 0.7368), ('VBN', 0.1579), ('JJ', 0.1053))
'pointedly'	(('RB', 1.0),)
'pointers'	(('NNS', 1.0),)
'pointes'	(('NNP', 1.0),)
'pointing'	(('VBG', 1.0),)
'pointless'	(('JJ', 1.0),)
'points'	(('NNS', 0.9249), ('VBZ', 0.0751))
'poised'	(('VBN', 1.0),)
'poison'	(('NN', 0.9643), ('JJ', 0.0357))
'poison-pill'	(('JJ', 0.6667), ('NN', 0.3333))
'poisoned'	(('VBN', 1.0),)
'poisoning'	(('NN', 1.0),)
'poisonous'	(('JJ', 1.0),)
'poisons'	(('NNS', 1.0),)
'poked'	(('VBD', 1.0),)
'poker'	(('NN', 1.0),)
'pokes'	(('VBZ', 1.0),)
'poking'	(('VBG', 1.0),)
'pol'	(('NN', 0.5), ('NNP', 0.5))
'poland'	(('NNP', 1.0),)
'polar'	(('JJ', 0.5), ('NNP', 0.5))
'polaroid'	(('NNP', 1.0),)
'poles'	(('NNPS', 0.875), ('NNS', 0.125))
'police'	(('NN', 0.5), ('NNS', 0.3714), ('NNP', 0.0857), ('VB', 0.0429))
'policeman'	(('NN', 1.0),)
'polices'	(('NNS', 1.0),)
'policewoman'	(('NN', 1.0),)
'policies'	(('NNS', 1.0),)
'policing'	(('VBG', 1.0),)
'policy'	(('NN', 0.9662), ('NNP', 0.0338))
'policy-makers'	(('NNS', 1.0),)
'policy-making'	(('NN', 0.3333), ('JJ', 0.3333), ('VBG', 0.3333))
'policyholder'	(('NN', 1.0),)
'policyholders'	(('NNS', 1.0),)
'policymaker'	(('NN', 1.0),)
'polish'	(('JJ', 0.68), ('NNP', 0.24), ('VB', 0.04), ('NN', 0.04))
'polished'	(('JJ', 0.75), ('VBN', 0.25))
'polishing'	(('NN', 0.5), ('VBG', 0.5))
'politburo'	(('NNP', 1.0),)
'polite'	(('JJ', 1.0),)
'political'	(('JJ', 0.9922), ('NNP', 0.0078))
'political-action'	(('JJ', 1.0),)
'political-corruption'	(('NN', 1.0),)
'politically'	(('RB', 1.0),)
'politician'	(('NN', 1.0),)
'politicians'	(('NNS', 1.0),)
'politicized'	(('VBN', 1.0),)
'politicking'	(('NN', 1.0),)
'politics'	(('NNS', 0.9048), ('NN', 0.0476), ('NNPS', 0.0238), ('NNP', 0.0238))
'politrick'	(('NN', 1.0),)
'polk'	(('NNP', 1.0),)
'poll'	(('NN', 0.8438), ('JJ', 0.0625), ('NNP', 0.0625), ('VB', 0.0312))
'pollack'	(('NNP', 1.0),)
'polled'	(('VBN', 1.0),)
'pollen'	(('NN', 1.0),)
'pollen-inhibiting'	(('JJ', 1.0),)
'pollen-producing'	(('VBG', 1.0),)
'pollin'	(('NNP', 1.0),)
'pollinate'	(('VB', 0.5), ('VBP', 0.5))
'pollinated'	(('VBN', 1.0),)
'pollinating'	(('VBG', 1.0),)
'pollination'	(('NN', 1.0),)
'polling'	(('NN', 1.0),)
'pollo'	(('NNP', 1.0),)
'polls'	(('NNS', 0.9583), ('VBZ', 0.0417))
'pollster'	(('NN', 1.0),)
'pollsters'	(('NNS', 1.0),)
'pollutants'	(('NNS', 1.0),)
'pollute'	(('VB', 1.0),)
'polluted'	(('JJ', 1.0),)
'polluting'	(('VBG', 1.0),)
'pollution'	(('NN', 0.9655), ('NNP', 0.0345))
'pollution-control'	(('JJ', 0.75), ('NN', 0.25))
'pollution-reduction'	(('NN', 1.0),)
'polly'	(('NNP', 1.0),)
'polo'	(('NNP', 1.0),)
'polo\\/ralph'	(('NNP', 1.0),)
'pols'	(('NNS', 1.0),)
'polsky'	(('NNP', 1.0),)
'poltergeists'	(('NNS', 1.0),)
'polycast'	(('NNP', 1.0),)
'polyconomics'	(('NNP', 1.0),)
'polyester'	(('NN', 1.0),)
'polyethylene'	(('NN', 1.0),)
'polygram'	(('NNP', 1.0),)
'polymerase'	(('NN', 1.0),)
'polymeric'	(('JJ', 1.0),)
'polymerix'	(('NNP', 1.0),)
'polymers'	(('NNS', 1.0),)
'polyols'	(('NNS', 1.0),)
'polypropylene'	(('NN', 1.0),)
'polyps'	(('NNS', 1.0),)
'polyrhythms'	(('NNS', 1.0),)
'polysilicon'	(('NN', 1.0),)
'polystyrene'	(('NN', 1.0),)
'polyurethane'	(('NN', 1.0),)
'polyvinyl'	(('NN', 1.0),)
'pomological'	(('JJ', 1.0),)
'pomologist'	(('NN', 1.0),)
'pompano'	(('NNP', 1.0),)
'pompey'	(('NNP', 1.0),)
'pomton'	(('NNP', 1.0),)
'ponce'	(('NNP', 1.0),)
'pond'	(('NNP', 1.0),)
'ponder'	(('VB', 0.75), ('VBP', 0.25))
'pondering'	(('VBG', 1.0),)
'ponderousness'	(('NN', 1.0),)
'ponds'	(('NNS', 1.0),)
'pong'	(('NNP', 0.6667), ('NN', 0.3333))
'ponied'	(('VBD', 1.0),)
'pons'	(('NNP', 1.0),)
'pont'	(('NNP', 1.0),)
'pontiac'	(('NNP', 1.0),)
'pontiac-cadillac'	(('NNP', 1.0),)
'pontificate'	(('VBP', 1.0),)
'ponying'	(('VBG', 1.0),)
'pooch'	(('NN', 1.0),)
'poodle'	(('NNP', 1.0),)
'poof'	(('NN', 1.0),)
'poohbah'	(('NN', 1.0),)
'pool'	(('NN', 0.8333), ('NNP', 0.125), ('VBP', 0.0417))
'poole'	(('NNP', 1.0),)
'pooled'	(('VBN', 1.0),)
'pooling'	(('VBG', 1.0),)
'pools'	(('NNS', 1.0),)
'poor'	(('JJ', 0.5259), ('NNP', 0.4655), ('NN', 0.0086))
'poor-quality'	(('JJ', 1.0),)
'poorer'	(('JJR', 1.0),)
'poorer-quality'	(('JJR', 1.0),)
'poorest'	(('JJS', 1.0),)
'poorly'	(('RB', 1.0),)
'pop'	(('NN', 0.5333), ('VB', 0.2667), ('VBP', 0.1333), ('JJ', 0.0667))
'pop-out'	(('JJ', 1.0),)
'pope'	(('NNP', 0.8889), ('NN', 0.1111))
'popkin'	(('NNP', 1.0),)
'popolare'	(('NNP', 1.0),)
'poppenberg'	(('NNP', 1.0),)
'popping'	(('VBG', 1.0),)
'pops'	(('VBZ', 1.0),)
'populace'	(('NN', 1.0),)
'popular'	(('JJ', 0.8507), ('NNP', 0.1493))
'populares'	(('NNP', 1.0),)
'popularity'	(('NN', 1.0),)
'popularize'	(('VB', 1.0),)
'popularized'	(('VBD', 1.0),)
'populate'	(('VB', 1.0),)
'populated'	(('JJ', 0.5), ('VBN', 0.5))
'populating'	(('VBG', 1.0),)
'population'	(('NN', 0.9062), ('NNP', 0.0938))
'population-control'	(('JJ', 1.0),)
'populations'	(('NNS', 1.0),)
'populism'	(('NN', 1.0),)
'populist'	(('JJ', 0.8), ('NN', 0.2))
'populous'	(('JJ', 1.0),)
'porcelain'	(('NN', 1.0),)
'porcelains'	(('NNS', 1.0),)
'porch'	(('NN', 1.0),)
'porche'	(('NNP', 1.0),)
'porches'	(('NNS', 1.0),)
'pored'	(('VBN', 1.0),)
'pores'	(('VBZ', 1.0),)
'pork'	(('NN', 1.0),)
'pork-barrel'	(('JJ', 0.875), ('NN', 0.125))
'pork-barrelers'	(('NNS', 1.0),)
'pork-barreling'	(('NN', 1.0),)
'porkapolis'	(('NNP', 1.0),)
'porno-inspired'	(('JJ', 1.0),)
'pornographic'	(('JJ', 1.0),)
'pornography'	(('NN', 1.0),)
'porous'	(('JJ', 1.0),)
'porsche-like'	(('JJ', 1.0),)
'port'	(('NNP', 0.4667), ('NN', 0.4), ('JJ', 0.1333))
'portable'	(('JJ', 0.9286), ('NN', 0.0714))
'portend'	(('VB', 1.0),)
'portends'	(('VBZ', 1.0),)
'porter'	(('NNP', 1.0),)
'portfolio'	(('NN', 0.9423), ('NNP', 0.0577))
'portfolios'	(('NNS', 1.0),)
'portico'	(('NN', 1.0),)
'portion'	(('NN', 1.0),)
'portions'	(('NNS', 1.0),)
'portland'	(('NNP', 1.0),)
'portrait'	(('NN', 1.0),)
'portraits'	(('NNS', 1.0),)
'portray'	(('VB', 1.0),)
'portrayal'	(('NN', 1.0),)
'portrayed'	(('VBN', 0.6), ('VBD', 0.4))
'portraying'	(('VBG', 1.0),)
'portrays'	(('VBZ', 1.0),)
'ports'	(('NNS', 1.0),)
'portugal'	(('NNP', 1.0),)
'pose'	(('VB', 0.8), ('VBP', 0.2))
'posed'	(('VBD', 0.5), ('VBN', 0.5))
'poses'	(('VBZ', 1.0),)
'posh'	(('JJ', 1.0),)
'posing'	(('VBG', 1.0),)
'position'	(('NN', 0.9848), ('VB', 0.0152))
'position-squaring'	(('NN', 1.0),)
'positional'	(('JJ', 1.0),)
'positioned'	(('VBN', 0.8182), ('VBD', 0.1818))
'positioning'	(('NN', 1.0),)
'positions'	(('NNS', 0.9867), ('VBZ', 0.0133))
'positive'	(('JJ', 0.98), ('NN', 0.02))
'positively'	(('RB', 1.0),)
'posix'	(('NNP', 1.0),)
'posner'	(('NNP', 1.0),)
'possess'	(('VB', 0.75), ('VBP', 0.25))
'possessed'	(('VBN', 1.0),)
'possesses'	(('VBZ', 1.0),)
'possessing'	(('VBG', 1.0),)
'possession'	(('NN', 1.0),)
'possessions'	(('NNS', 1.0),)
'possibilities'	(('NNS', 1.0),)
'possibility'	(('NN', 1.0),)
'possible'	(('JJ', 0.985), ('RB', 0.015))
'possibly'	(('RB', 1.0),)
'post'	(('NN', 0.6154), ('VB', 0.2967), ('NNP', 0.0659), ('JJ', 0.011), ('IN', 0.011))
'post-1987'	(('JJ', 1.0),)
'post-1997'	(('JJ', 1.0),)
'post-bankruptcy'	(('JJ', 1.0),)
'post-barre'	(('JJ', 1.0),)
'post-crash'	(('JJ', 1.0),)
'post-earthquake'	(('JJ', 1.0),)
'post-game'	(('JJ', 1.0),)
'post-hugo'	(('JJ', 1.0),)
'post-june'	(('JJ', 1.0),)
'post-newsweek'	(('NNP', 1.0),)
'post-oct'	(('NNP', 1.0),)
'post-production'	(('NN', 0.5), ('JJ', 0.5))
'post-quake'	(('JJ', 1.0),)
'post-split'	(('JJ', 1.0),)
'post-vietnam'	(('JJ', 1.0),)
'post-war'	(('JJ', 1.0),)
'post-watergate'	(('JJ', 1.0),)
'post-world'	(('JJ', 0.5), ('NNP', 0.5))
'postage'	(('NN', 1.0),)
'postal'	(('JJ', 0.5), ('NNP', 0.5))
'postcards'	(('NNS', 1.0),)
'posted'	(('VBD', 0.7949), ('VBN', 0.2051))
'postel'	(('NNP', 1.0),)
'postels'	(('NNPS', 1.0),)
'poster'	(('NN', 1.0),)
'posters'	(('NNS', 1.0),)
'posting'	(('VBG', 1.0),)
'postings'	(('NNS', 1.0),)
'postipankki'	(('NNP', 1.0),)
'postmarked'	(('VBN', 1.0),)
'postmarks'	(('NNS', 1.0),)
'postmaster'	(('NN', 1.0),)
'postpone'	(('VB', 1.0),)
'postponed'	(('VBD', 0.5), ('VBN', 0.5))
'postponement'	(('NN', 1.0),)
'postponing'	(('VBG', 1.0),)
'posts'	(('NNS', 1.0),)
'posture'	(('NN', 1.0),)
'posturing'	(('NN', 0.75), ('VBG', 0.25))
'postwar'	(('JJ', 1.0),)
'pot'	(('NN', 0.7143), ('VB', 0.1429), ('NNP', 0.1429))
'potala'	(('NNP', 1.0),)
'potash'	(('NNP', 1.0),)
'potato'	(('NN', 1.0),)
'potatoes'	(('NNS', 1.0),)
'potent'	(('JJ', 1.0),)
'potentates'	(('NNS', 1.0),)
'potential'	(('JJ', 0.8121), ('NN', 0.1879))
'potentialities'	(('NNS', 1.0),)
'potentially'	(('RB', 1.0),)
'pothier'	(('NNP', 1.0),)
'potholes'	(('NNS', 1.0),)
'potpourri'	(('NN', 1.0),)
'pottage'	(('NN', 1.0),)
'potted'	(('JJ', 1.0),)
'potter'	(('NNP', 1.0),)
'pottery'	(('NN', 1.0),)
'potts'	(('NNP', 1.0),)
'poughkeepsie'	(('NNP', 1.0),)
'poulenc'	(('NNP', 1.0),)
'poulin'	(('NNP', 1.0),)
'poultry'	(('NN', 1.0),)
'pounce'	(('VB', 1.0),)
'pound'	(('NN', 0.9579), ('NNP', 0.0316), ('VB', 0.0105))
'pound-dm'	(('JJ', 1.0),)
'pound-foolish'	(('JJ', 1.0),)
'pounded'	(('VBN', 1.0),)
'pounding'	(('VBG', 1.0),)
'pounds'	(('NNS', 1.0),)
'pour'	(('VB', 0.5714), ('VBP', 0.4286))
'poured'	(('VBD', 0.5), ('VBN', 0.5))
'pouring'	(('VBG', 1.0),)
'pours'	(('VBZ', 1.0),)
'poverty'	(('NN', 0.9655), ('NNP', 0.0345))
'povich'	(('NNP', 1.0),)
'powder'	(('NNP', 1.0),)
'powdered'	(('JJ', 1.0),)
'powell'	(('NNP', 1.0),)
'power'	(('NN', 0.809), ('NNP', 0.191))
'power-generation'	(('NN', 0.5), ('JJ', 0.5))
'power-hungry'	(('JJ', 1.0),)
'power-plant'	(('NN', 1.0),)
'power-sharing'	(('JJ', 1.0),)
'power-surge'	(('NN', 1.0),)
'power-tool'	(('NN', 0.5), ('JJ', 0.5))
'power-transmission'	(('JJ', 1.0),)
'powered'	(('VBN', 1.0),)
'powerful'	(('JJ', 1.0),)
'powerhouse'	(('NN', 1.0),)
'powerhouses'	(('NNS', 1.0),)
'powerless'	(('JJ', 1.0),)
'powers'	(('NNS', 0.7826), ('NNP', 0.2174))
'poyner'	(('NNP', 1.0),)
'pozen'	(('NNP', 1.0),)
'ppg'	(('NNP', 1.0),)
'ppi'	(('NNP', 1.0),)
'pr'	(('NNP', 1.0),)
'pra'	(('NNP', 1.0),)
'prab'	(('NNP', 1.0),)
'practical'	(('JJ', 1.0),)
'practically'	(('RB', 1.0),)
'practice'	(('NN', 0.9275), ('VB', 0.0725))
'practiced'	(('VBN', 0.5), ('VBD', 0.375), ('JJ', 0.125))
'practices'	(('NNS', 0.9615), ('NNPS', 0.0385))
'practicing'	(('VBG', 0.875), ('NN', 0.125))
'practitioners'	(('NNS', 1.0),)
'pragmatic'	(('JJ', 1.0),)
'pragmatism'	(('NN', 1.0),)
'pragmatist'	(('NN', 1.0),)
'pragmatists'	(('NNS', 1.0),)
'prague'	(('NNP', 1.0),)
'prairies'	(('NNS', 1.0),)
'praise'	(('NN', 0.75), ('VBP', 0.25))
'praised'	(('VBD', 0.8333), ('VBN', 0.1667))
'praises'	(('VBZ', 1.0),)
'praising'	(('VBG', 1.0),)
'prancing'	(('VBG', 1.0),)
'prandini'	(('NNP', 1.0),)
'pratap'	(('NNP', 1.0),)
'pratt'	(('NNP', 1.0),)
'pravda'	(('NNP', 1.0),)
'pravo'	(('NNP', 1.0),)
'pray-for-growth-later'	(('JJ', 1.0),)
'prayer'	(('NN', 1.0),)
'prayers'	(('NNS', 1.0),)
'praying'	(('VBG', 1.0),)
'pre-18th-century'	(('JJ', 1.0),)
'pre-1950s'	(('JJ', 1.0),)
'pre-1967'	(('JJ', 1.0),)
'pre-approved'	(('VBN', 1.0),)
'pre-bankruptcy'	(('NN', 1.0),)
'pre-christmas'	(('JJ', 1.0),)
'pre-college'	(('NNP', 1.0),)
'pre-crash'	(('JJ', 1.0),)
'pre-eminence'	(('NN', 1.0),)
'pre-eminent'	(('JJ', 1.0),)
'pre-empt'	(('VB', 1.0),)
'pre-empted'	(('VBD', 1.0),)
'pre-emptive'	(('JJ', 1.0),)
'pre-freudian'	(('JJ', 1.0),)
'pre-game'	(('JJ', 1.0),)
'pre-kindergarten'	(('NN', 1.0),)
'pre-may'	(('JJ', 1.0),)
'pre-merger'	(('JJ', 1.0),)
'pre-noon'	(('NN', 1.0),)
'pre-publication'	(('JJ', 1.0),)
'pre-quake'	(('JJ', 1.0),)
'pre-reagan'	(('JJ', 1.0),)
'pre-recorded'	(('JJ', 1.0),)
'pre-reform'	(('JJ', 1.0),)
'pre-refunded'	(('JJ', 1.0),)
'pre-register'	(('VB', 1.0),)
'pre-registered'	(('JJ', 0.5), ('VBN', 0.5))
'pre-sale'	(('JJ', 1.0),)
'pre-signed'	(('VBN', 1.0),)
'pre-split'	(('JJ', 1.0),)
'pre-strike'	(('JJ', 1.0),)
'pre-tax'	(('JJ', 1.0),)
'pre-tested'	(('VBN', 1.0),)
'pre-trial'	(('JJ', 0.875), ('NN', 0.125))
'pre-try'	(('VB', 1.0),)
'preach'	(('VBP', 1.0),)
'preaching'	(('NN', 0.5), ('VBG', 0.5))
'preadmission'	(('NN', 1.0),)
'preamble'	(('NN', 1.0),)
'prearranged'	(('VBN', 1.0),)
'prebon'	(('NNP', 1.0),)
'precarious'	(('JJ', 1.0),)
'precariously'	(('RB', 1.0),)
'precaution'	(('NN', 1.0),)
'precautionary'	(('JJ', 1.0),)
'precautions'	(('NNS', 1.0),)
'precede'	(('VB', 1.0),)
'preceded'	(('VBN', 1.0),)
'precedent'	(('NN', 1.0),)
'precedents'	(('NNS', 1.0),)
'preceding'	(('VBG', 0.8571), ('JJ', 0.1429))
'precincts'	(('NNS', 1.0),)
'precious'	(('JJ', 1.0),)
